Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
2025-05-11,Barcelona,Real Madrid,4,3,H,1.9,3.7,3.2
2025-05-11,Leganes,Espanol,3,2,H,2.4,3.0,3.2
2025-05-13,Valladolid,Girona,0,1,A,4.75,3.9,1.73
2025-05-13,Sociedad,Celta,0,1,A,2.3,3.3,3.1
2025-05-13,Sevilla,Las Palmas,1,0,H,1.67,3.7,5.25
2025-05-14,Alaves,Valencia,1,0,H,2.1,3.1,3.7
2025-05-14,Villarreal,Leganes,3,0,H,1.33,5.75,8.0
2025-05-14,Real Madrid,Mallorca,2,1,H,1.38,5.25,7.0
2025-05-15,Vallecano,Betis,2,2,D,3.0,3.2,2.4
2025-05-15,Osasuna,Ath Madrid,2,0,H,3.6,3.3,2.1
2025-05-15,Espanol,Barcelona,0,2,A,9.0,5.75,1.3
2025-05-15,Getafe,Ath Bilbao,0,2,A,3.2,2.75,2.63
2025-05-18,Valladolid,Alaves,0,1,A,6.0,3.75,1.6
2025-05-18,Valencia,Ath Bilbao,0,1,A,2.2,3.0,3.8
2025-05-18,Sevilla,Real Madrid,0,2,A,4.2,4.0,1.75
2025-05-18,Osasuna,Espanol,2,0,H,1.8,3.3,4.75
2025-05-18,Sociedad,Girona,3,2,H,2.05,3.1,4.1
2025-05-18,Las Palmas,Leganes,0,1,A,2.9,3.5,2.35
2025-05-18,Celta,Vallecano,1,2,A,1.75,3.9,4.33
2025-05-18,Barcelona,Villarreal,2,3,A,1.83,4.1,3.75
2025-05-18,Ath Madrid,Betis,4,1,H,1.91,3.6,3.8
2025-05-18,Mallorca,Getafe,1,2,A,2.0,3.2,4.2
2025-05-23,Betis,Valencia,1,1,D,1.91,3.75,3.75
2025-05-24,Vallecano,Mallorca,0,0,D,1.53,4.2,6.25
2025-05-24,Alaves,Osasuna,1,1,D,3.2,3.2,2.35
2025-05-24,Getafe,Celta,1,2,A,4.1,3.75,1.85
2025-05-24,Espanol,Las Palmas,2,0,H,1.38,4.75,8.0
